cluster	representative	sequence_count	minimum_length	median_length	maximum_length	representative_description
CMD_monomer_001	A0A8J3Y8J0	322	81	109	119	tr|A0A8J3Y8J0|A0A8J3Y8J0_9ACTN 4-carboxymuconolactone decarboxylase OS=Spirilliplanes yamanashiensis OX=42233 GN=pcaC PE=4 SV=1
CMD_monomer_002	A0A846X9N8	246	80	113	119	tr|A0A846X9N8|A0A846X9N8_9ACTN Carboxymuconolactone decarboxylase family protein OS=Tsukamurella spumae OX=44753 GN=HF999_21750 PE=4 SV=1
CMD_monomer_003	A0A8A7KB27	117	87	113	119	tr|A0A8A7KB27|A0A8A7KB27_9FIRM Carboxymuconolactone decarboxylase family protein OS=Iocasia frigidifontis OX=2682810 GN=GM661_12100 PE=4 SV=1
CMD_monomer_004	A0ABS5U4B5	68	83	106.5	119	tr|A0ABS5U4B5|A0ABS5U4B5_9BACT Carboxymuconolactone decarboxylase family protein OS=Pelotalea chapellei OX=44671 GN=KJB30_01865 PE=4 SV=1
CMD_monomer_005	K4LXF0	45	82	102	116	tr|K4LXF0|K4LXF0_THEPS Carboxymuconolactone decarboxylase-like domain-containing protein OS=Thermacetogenium phaeum (strain ATCC BAA-254 / DSM 26808 / PB) OX=1089553 GN=Tph_c24850 PE=4 SV=1
CMD_monomer_006	A0A1U9NPJ5	39	94	111	115	tr|A0A1U9NPJ5|A0A1U9NPJ5_9BACT Alkylhydroperoxidase/carboxymuconolactone decarboxylase family protein OS=Anaerohalosphaera lusitana OX=1936003 GN=STSP2_02721 PE=4 SV=1
CMD_monomer_007	A0ABP3VWY4	35	82	106	119	tr|A0ABP3VWY4|A0ABP3VWY4_9BURK Carboxymuconolactone decarboxylase family protein OS=Ideonella azotifigens OX=513160 GN=GCM10009107_57440 PE=4 SV=1
CMD_monomer_008	A0A2S0HXW8	30	94	115	119	tr|A0A2S0HXW8|A0A2S0HXW8_9FLAO Carboxymuconolactone decarboxylase family protein OS=Pukyongia salina OX=2094025 GN=C5O00_09830 PE=4 SV=1
CMD_monomer_009	A0A266Q8Y4	27	91	103	119	tr|A0A266Q8Y4|A0A266Q8Y4_9GAMM Carboxymuconolactone decarboxylase OS=Cellvibrio mixtus OX=39650 GN=CBP51_01950 PE=4 SV=1
CMD_monomer_010	A0A4Q2JJ73	22	101	109	119	tr|A0A4Q2JJ73|A0A4Q2JJ73_9MICO Carboxymuconolactone decarboxylase-like domain-containing protein OS=Agromyces fucosus OX=41985 GN=ESP57_17095 PE=4 SV=1
CMD_monomer_011	A0ABN3FHE9	21	87	110	119	tr|A0ABN3FHE9|A0ABN3FHE9_9PSEU Carboxymuconolactone decarboxylase-like domain-containing protein OS=Saccharopolyspora halophila OX=405551 GN=GCM10009854_01080 PE=4 SV=1
CMD_monomer_012	A0A7J5UL67	20	99	111.5	118	tr|A0A7J5UL67|A0A7J5UL67_9ACTN Carboxymuconolactone decarboxylase family protein OS=Georgenia thermotolerans OX=527326 GN=GB883_15960 PE=4 SV=1
CMD_monomer_013	A0ABV9TW09	17	91	102	114	tr|A0ABV9TW09|A0ABV9TW09_9ACTN Carboxymuconolactone decarboxylase family protein OS=Actinomadura gamaensis OX=1763541 GN=ACFPCY_13325 PE=4 SV=1
CMD_monomer_014	F6B2P4	12	83	87	107	tr|F6B2P4|F6B2P4_DESCC Carboxymuconolactone decarboxylase OS=Desulfotomaculum nigrificans (strain DSM 14880 / VKM B-2319 / CO-1-SRB) OX=868595 GN=Desca_1000 PE=4 SV=1
