group	accession	protein_length	double_core	repeat1	repeat1_i_evalue	repeat2	repeat2_i_evalue
CMD-like	tr|I7Z8J4|I7Z8J4_9GAMM	129	0				
CMD-like	tr|A0A010S689|A0A010S689_9PEZI	153	0				
CMD-like	tr|A0A023BMX0|A0A023BMX0_9FLAO	146	0				
CMD-like	tr|A0A023BRL1|A0A023BRL1_9FLAO	150	0				
CMD-like	tr|A0A023CUR5|A0A023CUR5_9LACO	124	0				
CMD-like	tr|A0A023D4P7|A0A023D4P7_ACIMT	127	0				
CMD-like	tr|A0A023D7K9|A0A023D7K9_ACIMT	138	0				
CMD-like	tr|A0A024K4G9|A0A024K4G9_9MYCO	126	0				
CMD-like	tr|A0A024P9Y6|A0A024P9Y6_9BACI	135	0				
CMD-like	tr|A0A051TXB5|A0A051TXB5_9MYCO	198	0				
CMD-like	tr|A0A058ZHT7|A0A058ZHT7_9RHOB	151	0				
CMD-like	tr|A0A059FTL2|A0A059FTL2_9PROT	194	0				
CMD-like	tr|A0A059FTU8|A0A059FTU8_9PROT	191	0				
CMD-like	tr|A0A059G5X8|A0A059G5X8_9PROT	178	0				
CMD-like	tr|A0A059MME1|A0A059MME1_9NOCA	197	0				
CMD-like	tr|A0A059XZZ4|A0A059XZZ4_9BACT	139	0				
CMD-like	tr|A0A059ZFV3|A0A059ZFV3_ACIBA	137	0				
CMD-like	tr|A0A060M629|A0A060M629_9BACI	121	0				
CMD-like	tr|A0A060V099|A0A060V099_9PROT	136	0				
CMD-like	tr|A0A061SSK1|A0A061SSK1_9RHOB	188	0				
CMD-like	tr|A0A062UKZ8|A0A062UKZ8_9PROT	190	0				
CMD-like	tr|A0A062UZZ9|A0A062UZZ9_9EURY	130	0				
CMD-like	tr|A0A066RMY7|A0A066RMY7_9GAMM	194	0				
CMD-like	tr|A0A066UP90|A0A066UP90_9VIBR	188	0				
CMD-like	tr|A0A066Z381|A0A066Z381_9ACTN	160	0				
CMD-like	tr|A0A068R319|A0A068R319_9GAMM	168	0				
CMD-like	tr|A0A069P380|A0A069P380_9BURK	198	0				
CMD-like	tr|A0A069PBD1|A0A069PBD1_9BURK	150	0				
CMD-like	tr|A0A069PCN1|A0A069PCN1_9BURK	129	0				
CMD-like	tr|A0A069PSM6|A0A069PSM6_9BURK	175	0				
CMD-like	tr|A0A069PTS4|A0A069PTS4_9BURK	131	0				
CMD-like	tr|A0A072PL28|A0A072PL28_9EURO	179	0				
CMD-like	tr|A0A073B8C1|A0A073B8C1_9PSEU	131	0				
CMD-like	tr|A0A074MKG0|A0A074MKG0_9SPHN	188	0				
CMD-like	tr|A0A074WPU6|A0A074WPU6_9PEZI	199	0				
CMD-like	tr|A0A075ULG2|A0A075ULG2_9PSEU	167	0				
CMD-like	tr|A0A076MU83|A0A076MU83_AMYME	172	0				
CMD-like	tr|A0A077M5Z6|A0A077M5Z6_9MICO	197	0				
CMD-like	tr|A0A077PJA5|A0A077PJA5_XENBV	140	0				
CMD-like	tr|A0A081BFC8|A0A081BFC8_9HYPH	181	0				
CMD-like	tr|A0A081C5Y5|A0A081C5Y5_VECG1	120	0				
CMD-like	tr|A0A081C9I9|A0A081C9I9_VECG1	129	0				
CMD-like	tr|A0A081CAQ8|A0A081CAQ8_VECG1	133	0				
CMD-like	tr|A0A081G4R0|A0A081G4R0_9GAMM	130	0				
CMD-like	tr|A0A081LCL1|A0A081LCL1_9BACI	124	0				
CMD-like	tr|A0A085G4R9|A0A085G4R9_9ENTR	142	0				
CMD-like	tr|A0A085Z5E7|A0A085Z5E7_9FLAO	147	0				
CMD-like	tr|A0A086A823|A0A086A823_9FLAO	148	0				
CMD-like	tr|A0A086ADJ1|A0A086ADJ1_9FLAO	138	0				
CMD-like	tr|A0A086AUD2|A0A086AUD2_FLAHY	151	0				
CMD-like	tr|A0A086Z2F1|A0A086Z2F1_9BIFI	132	0				
CMD-like	tr|A0A087LY64|A0A087LY64_DEVRI	131	0				
CMD-like	tr|A0A089LZU4|A0A089LZU4_9BACL	131	0				
CMD-like	tr|A0A089ZJ83|A0A089ZJ83_METFO	151	0				
CMD-like	tr|A0A090UZV0|A0A090UZV0_PSEVU	120	0				
CMD-like	tr|A0A091ID22|A0A091ID22_CALAN	195	0				
CMD-like	tr|A0A091RGX5|A0A091RGX5_9AVES	148	0				
CMD-like	tr|A0A093HKU0|A0A093HKU0_STRCA	205	0				
CMD-like	tr|A0A094IW00|A0A094IW00_9GAMM	182	0				
CMD-like	tr|A0A094YPF2|A0A094YPF2_9PROT	125	0				
CMD-like	tr|A0A097EJI6|A0A097EJI6_9SPHN	187	0				
CMD-like	tr|A0A098C1B4|A0A098C1B4_9BACT	157	0				
CMD-like	tr|A0A098G9Z1|A0A098G9Z1_9GAMM	188	0				
CMD-like	tr|A0A098R599|A0A098R599_9LACO	127	0				
