dehi_half	cluster	representative	sequence_count	minimum_length	median_length	maximum_length	template_neff	probability	p_value	bonferroni_p	score	aligned_columns	identity_percent	query_model_length	template_model_length	query_coverage_percent	template_coverage_percent	representative_description	hhr
N	CMD_monomer_017	A0ABY7GUB4	9	81	84	90	2.9	87.72	3.4e-06	0.0001836	34.76	42	12	123	81	34.146341463414636	51.851851851851855	tr|A0ABY7GUB4|A0ABY7GUB4_9BACT Carboxymuconolactone decarboxylase family protein OS=Nannocystis punicea OX=2995304 GN=O0S08_30535 PE=4 SV=1	results/cmd_monomer_clusters/dehi_N_vs_CMD_monomer_017.hhr
N	CMD_monomer_015	A0ABP8DVF7	10	90	110	119	3.4	85.88	5.3e-06	0.0002862	35.48	48	17	123	107	39.02439024390244	44.85981308411215	tr|A0ABP8DVF7|A0ABP8DVF7_9ACTN Carboxymuconolactone decarboxylase-like domain-containing protein OS=Dactylosporangium darangshiense OX=579108 GN=GCM10022255_113790 PE=4 SV=1	results/cmd_monomer_clusters/dehi_N_vs_CMD_monomer_015.hhr
C	CMD_monomer_015	A0ABP8DVF7	10	90	110	119	3.4	80.99	1.2e-05	0.000648	32.59	64	23	113	107	56.63716814159292	59.81308411214953	tr|A0ABP8DVF7|A0ABP8DVF7_9ACTN Carboxymuconolactone decarboxylase-like domain-containing protein OS=Dactylosporangium darangshiense OX=579108 GN=GCM10022255_113790 PE=4 SV=1	results/cmd_monomer_clusters/dehi_C_vs_CMD_monomer_015.hhr
C	CMD_monomer_003	A0A8A7KB27	117	87	113	119	5.3	74.52	2.7e-05	0.0014579999999999999	30.92	78	17	113	112	69.02654867256638	69.64285714285714	tr|A0A8A7KB27|A0A8A7KB27_9FIRM Carboxymuconolactone decarboxylase family protein OS=Iocasia frigidifontis OX=2682810 GN=GM661_12100 PE=4 SV=1	results/cmd_monomer_clusters/dehi_C_vs_CMD_monomer_003.hhr
C	CMD_monomer_005	K4LXF0	45	82	102	116	4.6	24.7	0.00079	0.042660000000000003	23.34	65	15	113	103	57.52212389380531	63.10679611650485	tr|K4LXF0|K4LXF0_THEPS Carboxymuconolactone decarboxylase-like domain-containing protein OS=Thermacetogenium phaeum (strain ATCC BAA-254 / DSM 26808 / PB) OX=1089553 GN=Tph_c24850 PE=4 SV=1	results/cmd_monomer_clusters/dehi_C_vs_CMD_monomer_005.hhr
C	CMD_monomer_004	A0ABS5U4B5	68	83	106.5	119	4.0	18.28	0.0013	0.0702	22.48	71	11	113	106	62.83185840707964	66.98113207547169	tr|A0ABS5U4B5|A0ABS5U4B5_9BACT Carboxymuconolactone decarboxylase family protein OS=Pelotalea chapellei OX=44671 GN=KJB30_01865 PE=4 SV=1	results/cmd_monomer_clusters/dehi_C_vs_CMD_monomer_004.hhr
C	CMD_monomer_017	A0ABY7GUB4	9	81	84	90	2.9	16.05	0.0016	0.0864	21.07	65	15	113	81	57.52212389380531	80.24691358024691	tr|A0ABY7GUB4|A0ABY7GUB4_9BACT Carboxymuconolactone decarboxylase family protein OS=Nannocystis punicea OX=2995304 GN=O0S08_30535 PE=4 SV=1	results/cmd_monomer_clusters/dehi_C_vs_CMD_monomer_017.hhr
C	CMD_monomer_002	A0A846X9N8	246	80	113	119	5.1	11.34	0.0027	0.1458	20.99	66	24	113	114	58.4070796460177	57.89473684210526	tr|A0A846X9N8|A0A846X9N8_9ACTN Carboxymuconolactone decarboxylase family protein OS=Tsukamurella spumae OX=44753 GN=HF999_21750 PE=4 SV=1	results/cmd_monomer_clusters/dehi_C_vs_CMD_monomer_002.hhr
C	CMD_monomer_006	A0A1U9NPJ5	39	94	111	115	2.8	10.9	0.0028	0.1512	21.04	56	13	113	111	49.557522123893804	50.450450450450454	tr|A0A1U9NPJ5|A0A1U9NPJ5_9BACT Alkylhydroperoxidase/carboxymuconolactone decarboxylase family protein OS=Anaerohalosphaera lusitana OX=1936003 GN=STSP2_02721 PE=4 SV=1	results/cmd_monomer_clusters/dehi_C_vs_CMD_monomer_006.hhr
N	CMD_monomer_024	A0ABS8WAL3	6	88	94	98	2.5	4.0	0.01	0.54	18.08	30	23	123	89	24.390243902439025	33.70786516853933	tr|A0ABS8WAL3|A0ABS8WAL3_9GAMM Carboxymuconolactone decarboxylase family protein OS=Motilimonas cestriensis OX=2742685 GN=K6Y31_07340 PE=4 SV=1	results/cmd_monomer_clusters/dehi_N_vs_CMD_monomer_024.hhr
